"","Cote_crédit_num","Cote_crédit","RATINGS","Marge_bénéficiaire nette","Marge_sur_EBITDA","Marge_sur_EBIT","Rendement_sur_cap_prop","Rendement_sur_actif","Dette_LT","Total_passif","Total_actif","Bénéfices_non_répartis","Flux_de_trésorie_d'expl","Passif_courant","ratio_ben_avt_impot_sur_frais_int","ratio_tot_dette_sur_tot_actif","ratio_actuel","Ratio_de_liquid_réduite","Ratio_de_liquidité","Fonds_roulement","Ratio_Fonds_de_roulmt_sur_ventes","Marge_opérationnelle","Beta_applique","Croissance_adj_des_Bén_ann","Croissance_tot_actif","ratio_tot_liab_sur_tot_actif","ratio_B_non_rep_sur_Tot_actif","ratio_Flux_de_TR_expl_sur_passif_cour","ratio_Fonds_de_roulement_sur_tot_actif"
"36",4,"BBB","BBB",9.0439,18.9131,13.5271,19.3252,7.088,2419.8,4354.5,7027.6,2238.9,772.7,1346.9,7.5156,35.4545,1.5778,1.0664,0.4374,778.3,0.1289,13.5271,1.0295,4.6192,23.9537,0.619628322613694,0.318586715237065,0.57368772737397,0.110749046616199
"37",6,"B","B+",8.4334,19.9192,15.6839,32.5217,13.0071,156.397,625.646,677.831,62.144,159.776,121.389,17.1224,23.3782,1.4211,1.3352,0.0299,51.119,0.0516,15.6839,1,7.6233,11.0754,0.923011783173092,0.0916806696654476,1.31623128949081,0.0754155534344106
"38",5,"BB","BB",1.491,2.9458,1.6025,7.3191,2.9514,650.2,2405.4,3737.7,-1481.7,33.1,1620.3,4.3566,20.2772,1.7426,1.0051,0.2604,1203.2,0.1819,1.6025,0.9334,0.039,7.2102,0.64355084677743,-0.396420258447709,0.020428315743998,0.321909195494555
"39",4,"BBB","BBB",-12.8046,3.6221,-6.6014,-14.2541,-7.0138,8482,17706,35174,1023,2154,2600,-2.6667,26.0533,1.2288,0.7765,0.3004,595,0.028,-6.6014,1.7275,-2.2371,6.8763,0.503383180758515,0.0290839824870643,0.828461538461538,0.0169159037925741
"40",4,"BBB","BBB-",-0.8477,33.9809,7.5418,-0.3257,-0.1501,1086.237,1726.657,3215.895,229.802,157.963,425.601,1.0131,37.6305,1.0924,0.3256,0.3242,39.309,0.0532,7.5418,0.9855,12.7108,7.7081,0.536913363153959,0.071458178827356,0.371152793344001,0.0122233468443466
"41",4,"BBB","BBB",56.5699,66.6032,69.5707,29.3895,5.1002,2466.224,18606,15549.215,506.473,405.192,4762,1.4879,46.159,0.7267,0.3755,0.3953,46.997,0.0532,69.5707,0.6342,61.2157,15.8609,1.19658773770895,0.0325722552553296,0.0850886182276354,0.00302246769370672
"42",6,"B","B+",-2.736,17.1623,8.6319,-10.4457,-2.163,440.148,564.203,727.423,-38.848,79.715,105.403,1.6902,63.7067,1.8958,0.9946,0.3405,94.422,0.1791,8.6319,0.6397,-5.3804,11.9013,0.775618862752484,-0.0534049651990657,0.756287771695303,0.129803429366407
"43",5,"BB","BB+",17.8124,47.0358,26.4199,19.7931,5.8786,3382.258,4391.601,6951.079,1131.845,868.711,384.243,3.4846,48.9832,1.7505,1.641,1.4483,288.359,0.0083,26.4199,0.5813,-3.5931,-0.927,0.631786949910942,0.162830116015082,2.26083754290904,0.041484063121711
"44",5,"BB","BB",9.2495,34.6721,23.8658,10.0082,3.267,1655.406,2930.062,4672.299,-758.757,343.553,516.153,3.4212,37.0641,0.9469,0.8823,0.16,-27.428,-0.0128,23.8658,1.1168,1.8353,10.9058,0.627113547313646,-0.162394786806238,0.665603028559361,-0.00587034348615104
"45",6,"B","B",6.2554,56.7984,18.9828,1.4491,0.9013,354.789,555.573,1451.923,-648.351,89.162,58.538,1.7468,24.4358,1.3479,1.2047,0,20.366,-0.0206,18.9828,1.6081,-10.8971,-4.6584,0.382646324908415,-0.446546407764048,1.5231473572722,0.0140269146504326
"46",3,"A","A-",13.7615,51.1368,32.7084,7.6299,2.1549,7472,11610,16255,3323,974,963,2.2652,49.0741,0.54,0.4019,0.0218,-443,-0.0995,32.7084,1,-11.7775,6.7171,0.714241771762535,0.204429406336512,1.01142263759086,-0.0272531528760381
"47",6,"B","B",-19.5334,7.35,6.3673,-130.7433,-30.6379,0,1125.5,161.434,-141.957,-28.086,126.143,1.7592,77.431,1.1276,0,0,16.098,0.0036,6.3673,1,-3.8225,-19.0753,6.97188944088606,-0.879350074953232,-0.222652069476705,0.0997187705192215
"48",6,"B","B",-23.0773,1.4391,-3.7112,-36.3705,-7.2606,523.061,818.977,1318.955,-73.381,44.529,271.241,-0.4019,40.4918,1.7013,0.7866,0.1475,190.211,0.4368,-3.7112,2.1463,12.7108,-24.4228,0.62092868975818,-0.0556357116050206,0.164167659019101,0.144213411374914
"49",4,"BBB","BBB-",8.2226,13.6124,6.4929,18.8397,6.465,1889,1281.84,4955,308,248,617,1.7267,39.4147,2.6029,1.5462,1.0519,989,0.1809,6.4929,0.478,-14.6431,11.0754,0.258696266397578,0.0621594349142281,0.40194489465154,0.199596367305752
