"","Cote_crédit","Marge_sur_EBITDA","Marge_sur_EBIT","Rendement_sur_cap_prop","Rendement_sur_actif","ratio_tot_liab_sur_tot_actif","ratio_B_non_rep_sur_Tot_actif","ratio_Flux_de_TR_expl_sur_passif_cour","ratio_ben_avt_impot_sur_frais_int","ratio_tot_dette_sur_tot_actif","ratio_actuel","Ratio_de_liquid_réduite","ratio_Fonds_de_roulement","Ratio_de_liquidité","Ratio_Fonds_de_roulmt_sur_ventes","Total_actif","Marge_d_explt","Beta_applique"
"95",2,-28.5,-37.1,0,0,0.95818540433925,0.00552268244575937,-0.123552123552124,-4.5802,45.1282,1.278,1.2329,0.042603550295858,1.1673,0.073,5070,-37.1,1
"96",6,37.0758,-1.2528,-7.7133,-3.3964,0.554644429001621,-1.05411165160991,1.23094822571262,-0.1499,33.3889,1.3304,0.5195,0.0263145703034515,0.4852,0.1715,2158.5,-1.2528,0.5733
"97",5,6.9324,-0.9243,-5.501,-2.1745,0.633524206142634,-0.155648099947944,0.0730769230769231,-0.4444,37.7408,1.7769,0.6,0.105153565851119,0.0769,0.1005,1921,-0.9243,1.028
"98",6,23.0196,8.177,22.3611,4.9753,0.772764088149655,-0.100744084415355,1.00407493817664,2.7058,54.216,0.7462,0.4596,-0.0503701498261532,0.0352,-0.0406,792.652,8.177,1.4274
"99",4,76.9964,49.0483,38.305,3.0821,0.855825950397512,-0.139925704297531,0.669312122003298,2.7664,68.8514,0.9147,0.4032,-0.0113764459375944,0.1918,0.0455,10478.668,49.0483,0.7372
"100",5,23.1148,17.1466,20.627,11.1393,0.432554391619662,0.464786462530218,1.3225371120108,6.7537,13.892,2.695,1.8367,0.202417405318292,1.1781,0.2213,6205,17.1466,1.5894
"101",4,56.8519,31.713,14.6381,3.4333,0.702283793978465,0.00925862423702078,0.59876965140123,1.7746,51.9649,0.2399,0.1866,-0.0762636307523489,0,-0.9912,14581,31.713,1
"102",4,35.6643,19.021,10.6977,2.5908,0.738112522686025,0.0600725952813067,0.354639175257732,1.8255,48.5481,1.2619,0.6928,0.023049001814882,0,0.0392,5510,19.021,1
"103",4,39.6989,21.9768,8.9143,2.2071,0.729885057471264,0.0368381383078952,0.366058569371099,1.973,49.5666,0.5967,0.41,-0.0527605049934049,0.0533,-0.2783,31842,21.9768,0.5206
"104",6,25.3901,4.5921,-29.9836,-6.6002,0.779301270487281,-0.067240109522111,0.0610996571091071,0.2433,53.5076,0.8396,0.2432,-0.0376366781030196,0.1643,-0.2412,1558.772,4.5921,1
