"","Cote_crédit_num","Cote_crédit","RATINGS","Marge_sur_EBITDA","Marge_sur_EBIT","Rendement_sur_cap_prop","Rendement_sur_actif","Dette_LT","Total_passif","Total_actif","Bénéfices_non_répartis","Flux_de_trésorie_d'expl","Passif_courant","ratio_ben_avt_impot_sur_frais_int","ratio_tot_dette_sur_tot_actif","ratio_actuel","Ratio_de_liquid_réduite","Ratio_de_liquidité","Fonds_roulement","Ratio_Fonds_de_roulmt_sur_ventes","Marge_opérationnelle","Beta_applique","Croissance_adj_des_Bén_ann","Croissance_tot_actif","ratio_tot_liab_sur_tot_actif","ratio_B_non_rep_sur_Tot_actif","ratio_Flux_de_TR_expl_sur_passif_cour","ratio_Fonds_de_roulement_sur_tot_actif"
"30",4,"BBB","BBB+",14.498,9.9743,18.1937,4.2298,5601.2,14013.6,19518.3,3729.6,1087.6,5751.4,13.5359,39.9963,1.6614,0.2008,0.0708,3803.9,0.2684,9.9743,0.9966,24.3146,6.0466,0.717972364396489,0.191082215151934,0.189101783913482,0.194888899135683
"31",3,"A","A-",52.6248,37.7209,17.4307,4.5434,8857,13123,20044,4054,880,739,3.0246,45.021,2.3194,2.1759,1.3221,975,0.1519,37.7209,0.4718,8.7917,3.7154,0.654709638794652,0.202255038914388,1.19079837618403,0.0486429854320495
"32",4,"BBB","BBB-",42.0899,14.4775,2.8859,1.5433,2661,5529,8630,-347,707,1439,1.7971,40.7648,0.6032,0.1974,0.1723,-571,-0.1693,14.4775,0.6281,123.8227,9.7494,0.640672074159907,-0.0402085747392816,0.49131341209173,-0.0661645422943221
"33",4,"BBB","BBB-",36.3855,19.2771,4.3581,2.1944,1758,2640,5494,136,306,572,2.1622,38.1871,1.0612,0.5979,0.1416,35,-0.1426,19.2771,1,-9.5637,-1.0373,0.480524208227157,0.0247542773935202,0.534965034965035,0.00637058609392064
"34",5,"BB","BB-",10.9488,5.1641,4.6031,1.362,2022,3515,5184,1003,460,1043,2.5545,40.8565,1.3432,0.7296,0.1486,358,0.078,5.1641,0.6822,23.3607,7.1344,0.678047839506173,0.193479938271605,0.441035474592522,0.0690586419753086
"35",4,"BBB","BBB",19.6869,13.4929,17.1286,6.7839,2345.7,4140.3,7038,2540,779.5,1148,7.7204,34.3819,1.8336,1.2682,0.6129,957,0.1631,13.4929,1.1166,6.4297,21.8663,0.588277919863598,0.360897982381358,0.679006968641115,0.135976129582268
"36",6,"B","B+",16.3951,12.3794,28.2033,12.5538,364.001,486.549,1303.307,96.21,178.183,128.047,15.8659,28.1329,2.3288,2.2164,0.4248,170.147,0.0661,12.3794,2.3266,0.777,-9.136,0.373318795955212,0.0738199058241842,1.39154373003663,0.130550208047682
"37",5,"BB","BB",4.835,2.5355,5.2297,1.9264,559.1,2204.5,3560.7,-1420.1,345,1481.3,3.0162,19.6225,1.7498,1.0344,0.3237,1110.7,0.1965,2.5355,1.1021,-9.3458,6.6257,0.619119835987306,-0.398826073524869,0.232903530682509,0.311933046872806
"38",4,"BBB","BBB",19.193,8.045,11.9665,6.1901,8419,16512,35713,2957,3285,2521,3.319,24.1229,1.3027,0.689,0.0738,763,0.0337,8.045,1.8109,40.6421,7.6573,0.462352644695209,0.0827989807633075,1.30305434351448,0.0213647691316887
"39",4,"BBB","BBB-",25.9429,-0.4963,-2.257,-1.0241,632.593,1746.463,3197.13,199.485,160.616,928.746,-0.0801,38.0227,0.5592,0.1973,0.1963,-409.364,-0.2814,-0.4963,0.8278,-24.9158,1.1901,0.546259614091388,0.0623950230362857,0.172938564472956,-0.128041086849768
