"","Cote_crédit_num","Cote_crédit","RATINGS","Marge_bénéficiaire nette","Marge_sur_EBITDA","Marge_sur_EBIT","Rendement_sur_cap_prop","Rendement_sur_actif","Dette_LT","Total_actif","Bénéfices_non_répartis","Flux_de_trésorie_d'expl","Passif_courant","ratio_ben_avt_impot_sur_frais_int","ratio_tot_dette_sur_tot_actif","ratio_actuel","Ratio_de_liquid_réduite","Ratio_de_liquidité","Fonds_roulement","Ratio_Fonds_de_roulmt_sur_ventes","Marge_opérationnelle","ratio_B_non_rep_sur_Tot_actif","ratio_Flux_de_TR_expl_sur_passif_cour","ratio_Fonds_de_roulement_sur_tot_actif"
"65",3,"A","A+",-3.3777,38.4587,18.2725,-4.1568,-0.6309,345.456,432.208,-733.432,15.14,14.269,0.7903,80.3365,1.3826,1.23,0.8125,5.459,0.1703,18.2725,-1.69694221300855,1.0610414184596,0.0126304927257246
"66",4,"BBB","BBB+",23.9735,38.4324,27.742,18.0576,7.9213,872.662,2118.209,-456.856,219.905,165.328,4.3728,45.0648,0.4765,0.4765,0.0825,-86.55,-0.0707,27.742,-0.215680322385563,1.3301134714023,-0.0408599906808063
"67",3,"A","A-",27.1448,46.582,39.7156,27.048,12.4696,3707,15547,2552,3131,3144,11.5422,35.8783,0.6663,0.4679,0.131,-1049,-0.0271,39.7156,0.16414742394031,0.995865139949109,-0.0674728243391008
"68",5,"BB","BB-",-10.1525,28.6372,21.5249,-17.2438,-4.8691,4298.7,7994.4,-2974.7,786.1,1076.1,2.9091,54.3793,0.7884,0.4706,0.0211,-227.7,-0.0478,21.5249,-0.372097968578005,0.730508317070904,-0.0284824377063945
"69",2,"AA","AA+",-8.9648,-6.0681,-9.6072,-8.9354,-4.5416,115.499,1348.709,2261,-65.022,585.801,-10.1388,8.5637,0.106,0.0875,0.0111,-523.707,-0.7809,-9.6072,1.6764179671078,-0.110996737800038,-0.388302443299481
"70",4,"BBB","BBB",26.2675,65.2168,39.9843,30.761,10.0665,3913.1554,18433.8797,3934.6091,5556.0161,2730.6273,18.3855,21.4096,0.7228,0.368,0.0324,-756.8866,-0.1161,39.9843,0.213444438394594,2.0347031980527,-0.0410595388663625
"71",4,"BBB","BBB",19.8914,62.4156,41.3704,8.4743,2.7392,2415.803,5337.491,-723.829,338.536,511.2,1.8011,61.0829,0.9918,0.4693,0.1927,373,-0.4166,41.3704,-0.135612219299292,0.662237871674491,0.0698830218168049
"72",4,"BBB","BBB",173.4609,63.1279,62.8959,49.6511,20.2748,3316,8886,1048,341,1076.1,2.4485,49.6286,1.2844,1.23,0.4279,-5179,-0.0116,62.8959,0.117938329957236,0.316885047858006,-0.582826918748593
"73",4,"BBB","BBB-",8.8399,37.715,20.8999,21.4561,6.1838,8506,17082,691,3285,2716,4.12,49.9122,0.8454,0.5166,0,-420,-0.0449,20.8999,0.0404519377122117,1.20949926362297,-0.0245872848612575
"74",5,"BB","BB+",2.6309,6.6896,5.528,7.318,4.0177,318.5,1416.7,257.5,85.4,288.8,4.1233,22.5665,4.0686,2.1645,1.1208,886.2,0.4096,5.528,0.181760429166373,0.295706371191136,0.625538222630056
"75",4,"BBB","BBB-",16.3518,42.1103,27.4566,20.3181,6.5969,4690,13250,1589,1740,1396,5.31,35.3962,0.9549,0.8095,0.4563,-63,-0.1024,27.4566,0.119924528301887,1.24641833810888,-0.00475471698113208
"76",4,"BBB","BBB+",7.9525,14.1113,12.0001,29.32,6.4733,1877.228,7520.78,1459.323,520.066,2886.592,6.1046,25.4759,1.2355,0.8691,0.4279,679.888,0.1021,12.0001,0.194038783211316,0.180166092055961,0.0904012615712732
"77",4,"BBB","BBB+",4.3974,8.8325,7.0026,30.9818,4.7148,2108.012,6771.538,780.722,313.277,3276.027,4.3707,31.2156,1.0844,0.813,0.3017,276.396,0.0385,7.0026,0.115294634690081,0.0956271117423635,0.0408173150619549
