"","binaire_cote_credit_2008","Cote_crédit","Marge_bénéficiaire.nette","Marge_sur_EBITDA","Marge_sur_EBIT","Rendement_sur_cap_prop","Rendement_sur_actif","ratio_ben_avt_impot_sur_frais_int","ratio_tot_dette_sur_tot_actif","ratio_B_non_rep_sur_Tot_actif","ratio_Flux_de_TR_expl_sur_passif_cour","ratio_actuel","Ratio_de_liquid_réduite","Ratio_de_liquidité","Ratio_Fonds_de_roulmt_sur_ventes","ratio_Fonds_de_roulement_sur_tot_actif","Total_actif","Marge_opérationnelle"
"40","firm_inv","A",6.6359,26.7743,17.9349,8.6772,2.4162,1.9284,49.5612,0.0567795092244313,0.389510901591043,0.6777,0.4402,0.0389,-0.1682,-0.0489879992835393,11166,17.9349
"41","firm_inv","A",15.378,56.8336,28.4573,5.6887,4.5524,2.0191,46.6996,0.0161968415568884,0.340267288133155,0.5965,0.5167,0,-0.0271,-0.0315231752350905,1779.421,28.4573
"42","firm_inv","A",-3.9157,70.7222,52.6472,0.6917,-0.6308,1.3642,102.8931,-0.100443182439124,0.445010968162685,0.5149,0.4898,0.3964,-0.4166,-0.0324956631501218,7301.959,52.6472
"43","firm_inv","BBB",5.5357,20.4828,8.8385,6.534,3.4851,6.5172,11.1408,0.356934046345811,0.794472557415337,1.4597,0.5492,0.0981,0.0557,0.0421033868092692,28050,8.8385
"44","firm_inv","AAA",9.3525,15.0741,11.9128,21.4397,11.6154,402.1429,3.6735,0.538872691933916,0.700677299541184,0.773,0.4953,0.0583,-0.0275,-0.050485908649174,20580,11.9128
"45","firm_inv","AAA",10.5253,16.4963,14.0638,37.085,18.4194,526.125,0.7982,0.473543201607502,1.02747650036153,1.1191,0.8265,0.4758,0.0041,0.0275731189997767,17916,14.0638
"46","firm_inv","BBB",20.3933,28.1277,20.5344,22.7615,6.5073,2.6547,56.6622,0.252583158068744,1.19183821919384,0.8587,0.511,0.0503,-0.0355,-0.00923147699511376,4125.667,20.5344
"47","firm_inv","BBB",23.6648,37.4538,28.6727,17.8202,5.1359,7.0943,59.2838,0,0.160904784174516,0.0801,0.07,0.0104,-1.0713,-0.423792561012901,4715.642,28.6727
"48","firm_spec","B",-6.7381,4.8182,0.1713,-25.4258,-9.5902,0.0787,46.0945,-0.467940513707109,0.301277534041054,2.4136,1.0284,0.0451,0.1712,0.260951209993832,476.614,0.1713
"49","firm_spec","B",-12.5888,5.3891,0.4325,-31.2809,-14.5229,0.1611,43.7135,-0.279107249037669,0.263566284613044,2.6881,1.152,0.1951,0.1891,0.231487953043121,575.166,0.4325
"50","firm_inv","BBB",1.7856,5.201,3.4154,9.6933,3.9831,4,32.1093,0.328265079251237,0.297213622291022,1.226,0.5015,0.2331,0.0195,0.0523560209424084,13943,3.4154
"51","firm_inv","A",0.2995,5.9188,2.2359,0.8872,0.4977,10.3922,9.1667,0.25453029039351,0.206950716669939,1.4434,1.0952,0.5413,0.1133,0.17120327545682,13189,2.2359
"52","firm_spec","BB",6.7861,25.4752,12.0721,1.4261,1.0643,1.2773,19.1952,-0.00842589076719149,0.437806435663961,8.8029,8.7666,8.1923,1.5851,0.262864434052147,5043.265,12.0721
"53","firm_inv","BBB",4.8825,14.9468,7.9695,7.7145,3.1668,5.1138,32.6792,0.25912083734386,0.55274927252302,2.3326,1.5558,0.5868,0.2011,0.140129582865947,3140.693,7.9695
"54","firm_inv","BBB",7.292,15.7203,11.0913,12.8634,5.9536,6.6775,27.9367,0.308145294775649,1.20949443175273,2.8463,2.0945,1.2695,0.2598,0.170640368956784,2799.027,11.0913
"55","firm_inv","BBB",2.7244,5.957,4.3132,14.6078,6.7149,7.8142,22.8715,0.308839479392625,0.399538516151935,1.0357,0.4033,0.1346,0.0014,0.00908351409978308,4425.6,4.3132
"56","firm_inv","AA",0,20.3953,10.2686,-4.1568,-0.6308,1.0868,85.1514,0.00864339781147616,0.269606808510638,3.8742,0.6247,0.3024,0.2537,0.259905291410689,3248.491,10.2686
"57","firm_spec","BB",1.3514,11.1227,5.8212,3.9098,1.2031,1.6471,44.9911,-0.0483005366726297,0.774390243902439,1.7744,1.2256,0.6768,0.0847,0.113595706618962,1118,5.8212
"58","firm_spec","BB",-12.1951,-6.3627,-13.5737,-36.6242,-9.3954,-2.6122,51.9157,0.024904214559387,-0.089041095890411,0.863,0.2192,0.137,0.0111,-0.0191570881226054,1044,-13.5737
"59","firm_spec","B",-3.1551,5.2654,-2.0296,-15.388,-2.9536,-0.6147,41.9295,-0.247762312448249,0.248545603815016,1.2844,0.8466,0.0055,0.1177,0.0965222342075193,749.993,-2.0296
"60","firm_spec","B",4.0198,13.1733,9.354,15.0799,5.2893,3.4263,26.8424,-0.024303236651302,0.531744776469433,1.5876,1.0846,0.1793,0.095,0.135752610263635,793.598,9.354
"61","firm_spec","B",4.9715,10.797,5.1613,18.7009,5.5391,2.386,30.0376,0.125421042203289,0.36784140969163,1.5925,0.6795,0.2698,0.0826,0.106597978997424,5047,5.1613
"62","firm_inv","A",14.5778,61.1556,38.6667,3.4849,2.6363,2.6547,58.7261,0.00233545647558386,2.69325153374233,0.8957,0.6994,0,-0.1261,-0.00360934182590234,4710,38.6667
"63","firm_inv","BBB",10.8191,36.8346,23.3351,9.9174,3.0523,2.3889,46.4664,0.100694576232588,0.26951482786047,0.7747,0.4514,0.0139,-0.0804,-0.0376323680115383,5269.4,23.3351
"64","firm_inv","A",2.4363,18.7049,5.7221,2.7233,0.9124,2.5683,19.2976,0.263969795037756,0.130005803830528,0.9855,0.6088,0.0226,0.0327,-0.00149826201606137,16686,5.7221
