"","binaire_cote_credit_2016","Cote_crédit","Marge_bénéficiaire.nette","Marge_sur_EBITDA","Marge_sur_EBIT","Rendement_sur_cap_prop","Rendement_sur_actif","ratio_ben_avt_impot_sur_frais_int","ratio_tot_dette_sur_tot_actif","ratio_tot_liab_sur_tot_actif","ratio_B_non_rep_sur_Tot_actif","ratio_Flux_de_TR_expl_sur_passif_cour","ratio_actuel","Ratio_de_liquid_réduite","Ratio_de_liquidité","Ratio_Fonds_de_roulmt_sur_ventes","ratio_Fonds_de_roulement_sur_tot_actif","Total_actif","Marge_opérationnelle"
"78","firm_spec","BB",6.3205,13.1908,9.3606,22.5564,9.5743,15.6327,30.9724,0.581563459680295,-0.214615301146923,0.925898397972616,2.1692,0.9947,0.1877,0.1614,0.224882319405715,580.597,9.3606
"79","firm_spec","BB",-2.9954,25.9591,1.3335,-2.5887,-1.3236,0.4612,21.7212,0.475605629566503,-1.38183800584011,1.60843656891955,3.2628,1.3284,1.2968,0.4368,0.18084293108418,7979.3,1.3335
"80","firm_spec","B",-4.8987,7.0032,5.6713,-25.9201,-4.8085,1.3826,53.9685,0.788441465949026,-0.138018236798169,-0.0613690585428519,0.7842,0.4766,0.1072,-0.1154,-0.109845769459784,428.255,5.6713
"81","firm_inv","BBB",2.1192,7.8366,4.5101,7.6584,2.8578,4.1262,33.8309,0.621674991288187,0.143570681844581,0.438634399308557,1.4699,0.3856,0.224,0.0635,0.0947264490649321,34436,4.5101
"82","firm_inv","A",5.5728,10.5803,7.3124,21.6825,9.6135,26.65,13.9856,0.547150580519365,0.324293184436763,0.375618171362852,1.1688,0.821,0.112,0.0732,0.0650536204910042,22566,7.3124
"83","firm_inv","AA",-1.4562,10.3309,0.5718,-6.5836,-0.3964,0.1931,24.733,1,0,0.106208795680838,0.9519,0.9325,0.0947,0.0136,-0.00480532802869857,4422.799,0.5718
"84","firm_inv","AA",1.5621,13.1158,4.7392,5.148,0.6569,3.5455,8.972,1.72654404435159,0.0339431676976227,0.658037123796914,2.0144,1.0854,1.0854,0.1502,0.0870443652451763,1830.825,4.7392
"85","firm_spec","BB",-22.9722,8.5461,-18.235,-12.3115,-4.68,-1.0365,56.8385,0.631577909040284,-0.201213084661925,-0.259035000041303,1.2656,1.0334,0.4302,0.1231,0.0108104000078913,8921.224,-18.235
"86","firm_spec","BB",-0.6277,12.8351,1.4234,-0.7565,-0.2753,0.3159,34.1523,0.603799973796614,0.246694565738129,0.236767485043654,1.6899,0.9218,0.3689,0.2174,0.0918948800909789,4556.663,1.4234
"87","firm_inv","BBB",4.4691,7.2827,5.8532,21.4688,10.3973,12.2504,22.2597,0.519594727172187,0.375680062788748,0.662669789227166,1.1176,0.3128,0.0258,0.0092,0.0223863291771463,5606.1,5.8532
"88","firm_spec","B",1.7287,16.4917,12.8368,8.7719,1.7008,2.3486,60.6098,3.39626621983779,0.0323437823324266,0.48986406719061,3.0122,1.4369,0.7964,0.272,0.301087126584131,396.274,12.8368
