"","Cote_crédit_num","Cote_crédit","RATINGS","Marge_bénéficiaire nette","Marge_sur_EBITDA","Marge_sur_EBIT","Rendement_sur_cap_prop","Rendement_sur_actif","Dette_LT","Total_actif","Flux_de_trésorie_d'expl","Passif_courant","ratio_ben_avt_impot_sur_frais_int","ratio_tot_dette_sur_tot_actif","ratio_actuel","Ratio_de_liquid_réduite","Ratio_de_liquidité","Fonds_roulement","Ratio_Fonds_de_roulmt_sur_ventes","Marge_opérationnelle","Beta_applique","ratio_Flux_de_TR_expl_sur_passif_cour","ratio_Fonds_de_roulement_sur_tot_actif"
"86",4,"BBB","BBB-",7.2385,14.8892,9.3959,17.5242,7.5038,562.2,1552.1,167.6,177.7,4.7524,36.2219,1.4553,0.9285,0,80.9,0.0328,9.3959,0.2916,0.943162633652223,0.0521229302235681
"87",4,"BBB","BBB+",4.0083,11.1449,3.998,6.3782,3.25,166.137,847.653,56.305,253.442,1.7325,31.4966,0.9943,0.7739,0,-1.445,-0.0353,3.998,0.5952,0.222161283449468,-0.00170470699684895
"88",4,"BBB","BBB",20.3313,27.5035,25.396,-16.1261,13.4777,56.4293,297.4611,55.406,47.8614,8.9507,18.9703,3.1225,2.3486,2.1083,101.5854,0.3328,25.396,1.9251,1.15763433581132,0.341508183759154
"89",4,"BBB","BBB",7.0481,24.6269,14.1791,5.6347,2.1896,875,5102,254,436,3,18.0321,2.7431,1.2798,0.6101,760,0.4183,14.1791,0.674,0.582568807339449,0.148961191689534
"90",4,"BBB","BBB",17.9988,37.1937,29.1715,22.5985,10.7924,982,6059,1119,460,16.3934,16.8345,3.937,2.763,1.9717,1351,0.276,29.1715,0.9662,2.43260869565217,0.222974088133355
"91",4,"BBB","BBB+",7.5495,37.8996,18.1596,-6.8677,3.5657,3196.8999,18046.5,1617.8,6694.2998,3.6417,45.6055,0.2696,0.1656,0.015,-4889.6998,-0.4453,18.1596,0.5478,0.241668292178967,-0.270950034632754
"92",4,"BBB","BBB+",4.5396,39.7999,16.6709,5.0707,1.8175,6619,17477.5,2133.8,2154.7,1.7442,39.1366,0.7042,0.3388,0.0029,-637.3999,-0.1151,16.6709,0.3718,0.990300273820022,-0.0364697410956945
"93",3,"A","A-",19.2048,25.2072,12.0817,16.5114,8.4799,2321,15699,1116,2965,3.5611,18.2305,0.8526,0.627,0.1137,-437,-0.0548,12.0817,0.4102,0.376391231028668,-0.027836167908784
"94",3,"A","A-",6.5811,31.7609,16.677,6.918,2.0589,2321.1001,8050.7002,591.2,1362.8,1.9848,36.4639,0.7634,0.3843,0.0743,-322.4,-0.0586,16.677,0.5952,0.433812738479601,-0.0400462061672598
"95",4,"BBB","BBB+",17.8693,62.1805,45.5101,13.9713,3.1218,11467,25548,1720,6251,1.891,48.176,0.8611,0.1734,0.0814,-868,-0.2073,45.5101,-0.5193,0.275155975043993,-0.0339752622514483
"96",4,"BBB","BBB+",8.549,18.2616,10.9698,14.1055,6.7659,712.9,2594.7,164.2,445.9,5.1386,28.1613,1.4196,1.0597,0.0715,187.1,0.0548,10.9698,0.7971,0.368244000897062,0.0721085289243458
"97",4,"BBB","BBB",3.7514,15.9984,9.777,13.1079,4.4106,387.422,1505.818,140.641,396.825,6.2023,26.6126,0.7839,0.4946,0.0079,-85.754,-0.0369,9.777,0.6679,0.354415674415674,-0.0569484492813873
"98",5,"BB","BB+",43.8234,70.4677,36.9454,33.9608,15.6921,75.014,844.602,191.377,141.633,34.8347,8.8816,0.9082,0.8407,0.4592,-13,-0.0196,36.9454,0.3394,1.35121758347278,-0.0153918650441273
"99",4,"BBB","BBB+",34.3055,82.2368,64.4853,33.9036,15.497,101.619,489.703,151.521,71.527,11.5832,20.7511,0.9381,0.8163,0.2217,-4.426,-0.01,64.4853,0.5952,2.11837487941616,-0.00903813127548739
"100",4,"BBB","BBB-",8.8321,18.393,11.9819,13.6635,7.0491,735.536,3927.417,395.122,805.978,17.9236,24.2344,1.5011,0.8013,0.4337,403.882,0.1936,11.9819,0.4266,0.490239187670135,0.102836546259284
"101",4,"BBB","BBB-",8.7357,24.3944,16.1575,12.1339,5.5722,570.633,2453.4519,134.934,434.622,5.143,29.9007,1.7433,0.4199,0,323.044,0.2215,16.1575,0.4266,0.310462884989715,0.131669180064219
"102",4,"BBB","BBB-",-1.6308,14.4747,2.4738,-2.9329,-1.0237,905.631,1877.354,144.072,304.449,0.5904,53.7725,0.6407,0.53,0.4879,-109.374,-0.0335,2.4738,1.1344,0.473222116019432,-0.058259656942697
"103",3,"A","A",2.1527,6.9817,5.0886,17.4212,4.4807,2986,11421,1045,3906,5.5735,35.8813,0.9557,0.478,0.3251,-173,-0.0072,5.0886,0.4102,0.267537122375832,-0.0151475352420979
"104",3,"A","A",8.6166,20.1282,6.0685,6.6465,5.5346,0,93.9481,8.536,5.0297,-12.989,0,8.1183,7.1138,6.8798,35.8034,0.5485,6.0685,-0.5193,1.69711911247192,0.381097648595342
